Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date,Email,Website,Language
Hon.,Diane,Ablonczy,Calgary—Nose Hill,Alberta,Conservative,5/2/2011 0:00,,diane.ablonczy@parl.gc.ca,www.dianeablonczy.com,English
,Eve,Adams,Mississauga—Brampton South,Ontario,Conservative,5/2/2011 0:00,,Eve.Adams@parl.gc.ca,eveadamsmp.ca,English
,Mark,Adler,York Centre,Ontario,Conservative,5/2/2011 0:00,,Mark.Adler@parl.gc.ca,www.markadler.ca,English
Hon.,Leona,Aglukkaq,Nunavut,Nunavut,Conservative,5/2/2011 0:00,,leona.aglukkaq@parl.gc.ca,www.leonaaglukkaq.ca/EN/5215,English
,Dan,Albas,Okanagan—Coquihalla,British Columbia,Conservative,5/2/2011 0:00,,Dan.Albas@parl.gc.ca,www.danalbas.com,English
,Harold,Albrecht,Kitchener—Conestoga,Ontario,Conservative,5/2/2011 0:00,,harold.albrecht@parl.gc.ca,www.haroldalbrechtmp.ca,English
Hon.,Chris,Alexander,Ajax—Pickering,Ontario,Conservative,5/2/2011 0:00,,Chris.Alexander@parl.gc.ca,www.chrisalexander.ca,English
,Malcolm,Allen,Welland,Ontario,NDP,5/2/2011 0:00,,malcolm.allen@parl.gc.ca,malcolmallen.ndp.ca,English
,Mike,Allen,Tobique—Mactaquac,New Brunswick,Conservative,5/2/2011 0:00,,mike.allen@parl.gc.ca,www.mikeallenmp.ca,English
,Dean,Allison,Niagara West—Glanbrook,Ontario,Conservative,5/2/2011 0:00,,dean.allison@parl.gc.ca,www.deanallison.ca,English
,Stella,Ambler,Mississauga South,Ontario,Conservative,5/2/2011 0:00,,Stella.Ambler@parl.gc.ca,www.stellaambler.ca,English
Hon.,Rona,Ambrose,Edmonton—Spruce Grove,Alberta,Conservative,5/2/2011 0:00,,rona.ambrose@parl.gc.ca,www.ronaambrose.com,English
,Rob,Anders,Calgary West,Alberta,Conservative,5/2/2011 0:00,,rob.anders@parl.gc.ca,www.robanders.ca,English
,David,Anderson,Cypress Hills—Grasslands,Saskatchewan,Conservative,5/2/2011 0:00,,david.anderson@parl.gc.ca,www.davidanderson.ca,English
,Scott,Andrews,Avalon,Newfoundland and Labrador,Liberal,5/2/2011 0:00,,scott.andrews@parl.gc.ca,www.scottandrews.ca,English
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,5/2/2011 0:00,,charlie.angus@parl.gc.ca,charlieangus.ndp.ca,English
,Scott,Armstrong,Cumberland—Colchester—Musquodoboit Valley,Nova Scotia,Conservative,5/2/2011 0:00,,scott.armstrong@parl.gc.ca,www.scottarmstrongmp.ca,English
Hon.,Keith,Ashfield,Fredericton,New Brunswick,Conservative,5/2/2011 0:00,,keith.ashfield@parl.gc.ca,,English
,Niki,Ashton,Churchill,Manitoba,NDP,5/2/2011 0:00,,niki.ashton@parl.gc.ca,www.nikiashton.ndp.ca,English
,Jay,Aspin,Nipissing—Timiskaming,Ontario,Conservative,5/2/2011 0:00,,Jay.Aspin@parl.gc.ca,www.jayaspin.ca,English
,Alex,Atamanenko,British Columbia Southern Interior,British Columbia,NDP,5/2/2011 0:00,,alex.atamanenko@parl.gc.ca,alexatamanenko.ndp.ca,English
,Robert,Aubin,Trois-Rivières,Québec,NDP,5/2/2011 0:00,,Robert.Aubin@parl.gc.ca,robertaubin.ndp.ca,French
,Paulina,Ayala,Honoré-Mercier,Québec,NDP,5/2/2011 0:00,,Paulina.Ayala@parl.gc.ca,paulinaayala.ndp.ca,French
Hon.,John,Baird,Ottawa West—Nepean,Ontario,Conservative,5/2/2011 0:00,,john.baird@parl.gc.ca,www.johnbaird.com,English
,Joyce,Bateman,Winnipeg South Centre,Manitoba,Conservative,5/2/2011 0:00,,Joyce.Bateman@parl.gc.ca,,English
Hon.,Mauril,Bélanger,Ottawa—Vanier,Ontario,Liberal,5/2/2011 0:00,,mauril.belanger@parl.gc.ca,www.mauril.ca,French
,André,Bellavance,Richmond—Arthabaska,Québec,Bloc Québécois,5/2/2011 0:00,,andre.bellavance@parl.gc.ca,www.andrebellavance.qc.ca/abellavance.asp?no=5493,French
Hon.,Carolyn,Bennett,St. Paul's,Ontario,Liberal,5/2/2011 0:00,,carolyn.bennett@parl.gc.ca,www.carolynbennett.ca,English
,Leon,Benoit,Vegreville—Wainwright,Alberta,Conservative,5/2/2011 0:00,,leon.benoit@parl.gc.ca,www.leonbenoit.ca,English
,Tyrone,Benskin,Jeanne-Le Ber,Québec,NDP,5/2/2011 0:00,,Tyrone.Benskin@parl.gc.ca,tyronebenskin.ndp.ca,English
Hon.,Candice,Bergen,Portage—Lisgar,Manitoba,Conservative,5/2/2011 0:00,,candice.bergen@parl.gc.ca,www.candicebergen.ca,English
Hon.,Maxime,Bernier,Beauce,Québec,Conservative,5/2/2011 0:00,,maxime.bernier@parl.gc.ca,www.maximebernier.com/en,French
,Dennis,Bevington,Western Arctic,Northwest Territories,NDP,5/2/2011 0:00,,dennis.bevington@parl.gc.ca,www.dennisbevington.ca,English
,James,Bezan,Selkirk—Interlake,Manitoba,Conservative,5/2/2011 0:00,,james.bezan@parl.gc.ca,www.jamesbezan.com,English
,Denis,Blanchette,Louis-Hébert,Québec,NDP,5/2/2011 0:00,,Denis.Blanchette@parl.gc.ca,denisblanchette.ndp.ca,French
,Lysane,Blanchette-Lamothe,Pierrefonds—Dollard,Québec,NDP,5/2/2011 0:00,,Lysane.Blanchette-Lamothe@parl.gc.ca,lysaneblanchettelamothe.ndp.ca,French
Hon.,Steven,Blaney,Lévis—Bellechasse,Québec,Conservative,5/2/2011 0:00,,steven.blaney@parl.gc.ca,www.stevenblaney.ca,French
,Kelly,Block,Saskatoon—Rosetown—Biggar,Saskatchewan,Conservative,5/2/2011 0:00,,kelly.block@parl.gc.ca,www.kellyblock.ca,English
,Françoise,Boivin,Gatineau,Québec,NDP,5/2/2011 0:00,,Francoise.Boivin@parl.gc.ca,www.francoiseboivin.com/en,French
,Charmaine,Borg,Terrebonne—Blainville,Québec,NDP,5/2/2011 0:00,,Charmaine.Borg@parl.gc.ca,www.charmaineborg.info,French
,Ray,Boughen,Palliser,Saskatchewan,Conservative,5/2/2011 0:00,,ray.boughen@parl.gc.ca,rayboughen.ca/index.php?docID=9,English
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Québec,NDP,5/2/2011 0:00,,Alexandre.Boulerice@parl.gc.ca,www.boulerice.org/index.php/en,French
